Order Date,Brand,Sneaker,Sale,Retail,Profit,ProfitPercent,Buyer Region,brand,Order,sneaker,sale_average
, Yeezy,350-V2-Semi-Frozen-Yellow,598,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Semi-Frozen-Yellow,635,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Semi-Frozen-Yellow,630,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,515,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,575,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,565,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,530,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,530,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,520,220,,,,Adidas,15-Jan,,
, Yeezy,350-V2-Zebra,560,220,,,,Adidas,15-Jan,,
, Yeezy,350-Low-Pirate-Black-2015,897,200,,,,Adidas,16-Jan,,
, Yeezy,350-Low-V2-Beluga,855,220,,,,Adidas,16-Jan,,
, Yeezy,350-Low-V2-Beluga,710,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,404,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,380,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,399,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,360,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,388,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,375,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,360,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,370,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,360,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,357,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,361,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,364,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,364,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,380,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,405,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,440,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,387,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,399,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,380,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,392,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,409,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,490,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,412,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,410,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,440,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,394,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Beluga-2pt0,350,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,369,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,333,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,333,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,340,220,,,,Adidas,16-Jan,,
, Yeezy,350-V2-Blue-Tint,370,220,,,,Adidas,16-Jan,,
