Brand,Sneaker,Sale,Retail,Order
 Yeezy,350-V2-Blue-Tint,$340,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$330,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$368,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$355,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$338,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$370,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$360,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$365,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$335,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$353,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$350,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$350,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$380,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$340,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$355,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$354,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$354,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$385,$220,17-Jan
 Yeezy,350-V2-Blue-Tint,$338,$220,17-Jan
 Yeezy,350-V2-Core-Black-Copper,$615,$220,17-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$800,$220,17-Jan
 Yeezy,350-V2-Core-Black-Red-2017,$725,$220,17-Jan
 Yeezy,350-V2-Core-Black-White,$700,$220,17-Jan
 Yeezy,350-V2-Core-Black-White,$730,$220,17-Jan
 Yeezy,350-V2-Cream-White,$490,$220,17-Jan
 Yeezy,350-V2-Cream-White,$475,$220,17-Jan
 Yeezy,350-V2-Cream-White,$445,$220,17-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$590,$220,17-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$682,$220,17-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$650,$220,17-Jan
 Yeezy,350-V2-Semi-Frozen-Yellow,$797,$220,17-Jan
 Yeezy,350-V2-Zebra,$525,$220,17-Jan
 Yeezy,350-V2-Zebra,$579,$220,17-Jan
 Yeezy,350-V2-Zebra,$511,$220,17-Jan
 Yeezy,350-V2-Zebra,$520,$220,17-Jan
 Yeezy,350-Low-Oxford-Tan,"$1,261",$200,18-Jan
 Yeezy,350-Low-Pirate-Black-2015,$846,$200,18-Jan
 Yeezy,350-Low-V2-Beluga,$875,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$398,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$411,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$366,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$372,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$360,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$371,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$372,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$385,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$365,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$404,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$398,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$391,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$360,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$350,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$381,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$361,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$375,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$350,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$380,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$355,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$382,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$400,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$384,$220,18-Jan
 Yeezy,350-V2-Beluga-2pt0,$338,$220,18-Jan
